"title","revenue","released","codename"
"iron man",585.174222,2008-05-02,"iron man"
"the incredible hulk",263.427551,2008-06-13,"hulk"
"iron man 2",623.933331,2010-05-07,"iron man"
"thor",449.326618,2011-05-06,"thor"
"captain america: the first avenger",370.569774,2011-07-22,"captain america"
"the avengers",1519.55791,2012-05-04,NA
"iron man 3",1215.439994,2013-05-03,"iron man"
"thor: the dark world",644.602516,2013-11-08,"thor"
"captain america: the winter soldier",714.421503,2014-04-04,"captain america"
"guardians of the galaxy",773.312399,2014-08-01,NA
"avengers: age of ultron",1405.413868,2015-05-01,NA
"ant-man",519.445163,2015-07-17,NA
"captain america: civil war",1152.74593,2016-05-06,"captain america"
